sent_id,word_id,token,cpostag,postag,head,deprel,deps,parent_token,parent_deprel,stem_pos,parent_stem,parent_stem_pos
24,8,hood,NOUN,NNP,9,nsubj,8:nsubj|9:ROOT,knocked,ROOT,hood_nsubj,knock,knocked_ROOT
24,9,NA,VERB,VBD,0,ROOT,9:ROOT|0:NA,NA,NA,knocked_ROOT,NA,NA_NA
24,10,on,ADP,IN,9,prep,10:prep|9:ROOT,knocked,ROOT,on_prep,knock,knocked_ROOT
24,11,the,DET,DT,12,det,11:det|12:pobj,door,pobj,the_det,door,door_pobj
24,12,door,NOUN,NN,10,pobj,12:pobj|10:prep,on,prep,door_pobj,on,on_prep
25,1,the,DET,DT,2,det,1:det|2:nsubj,wolf,nsubj,the_det,wolf,wolf_nsubj
25,2,wolf,NOUN,NN,3,nsubj,2:nsubj|3:ROOT,jumped,ROOT,wolf_nsubj,jumped,jumped_ROOT
25,3,NA,VERB,VBD,0,ROOT,3:ROOT|0:NA,NA,NA,jumped_ROOT,NA,NA_NA
25,4,into,ADP,IN,3,prep,4:prep|3:ROOT,jumped,ROOT,into_prep,jumped,jumped_ROOT
25,5,bed,NOUN,NN,4,pobj,5:pobj|4:prep,into,prep,bed_pobj,into,into_prep
25,6,and,CONJ,CC,3,cc,6:cc|3:ROOT,jumped,ROOT,and_cc,jumped,jumped_ROOT
25,7,pulled,VERB,VBD,3,conj,7:conj|3:ROOT,jumped,ROOT,pulled_conj,jumped,jumped_ROOT
25,8,the,DET,DT,9,det,8:det|9:dobj,covers,dobj,the_det,covers,covers_dobj
25,9,covers,NOUN,NNS,7,dobj,9:dobj|7:conj,pulled,conj,covers_dobj,pulled,pulled_conj
25,10,over,ADP,IN,7,prep,10:prep|7:conj,pulled,conj,over_prep,pulled,pulled_conj
25,11,his,PRON,PRP$,12,poss,11:poss|12:pobj,nose,pobj,his_poss,nose,nose_pobj
25,12,nose,NOUN,NN,10,pobj,12:pobj|10:prep,over,prep,nose_pobj,over,over_prep
26,2,who,PRON,WP,8,dep,2:dep|8:ROOT,called,ROOT,who_dep,called,called_ROOT
26,3,is,VERB,VBZ,2,cop,3:cop|2:dep,Who,dep,is_cop,Who,Who_dep
26,4,it,PRON,PRP,2,nsubj,4:nsubj|2:dep,Who,dep,it_nsubj,Who,Who_dep
26,7,he,PRON,PRP,8,nsubj,7:nsubj|8:ROOT,called,ROOT,he_nsubj,called,called_ROOT
26,8,NA,VERB,VBD,0,ROOT,8:ROOT|0:NA,NA,NA,called_ROOT,NA,NA_NA
26,9,in,PRT,RP,8,prt,9:prt|8:ROOT,called,ROOT,in_prt,called,called_ROOT
26,10,a,DET,DT,12,det,10:det|12:dobj,voice,dobj,a_det,voice,voice_dobj
26,11,cackly,ADJ,JJ,12,amod,11:amod|12:dobj,voice,dobj,cackly_amod,voice,voice_dobj
26,12,voice,NOUN,NN,8,dobj,12:dobj|8:ROOT,called,ROOT,voice_dobj,called,called_ROOT
27,2,it,PRON,PRP,4,nsubj,2:nsubj|4:ROOT,me,ROOT,it_nsubj,me,me_ROOT
27,3,'s,VERB,VBZ,4,cop,3:cop|4:ROOT,me,ROOT,'s_cop,me,me_ROOT
27,4,NA,PRON,PRP,0,ROOT,4:ROOT|0:NA,NA,NA,me_ROOT,NA,NA_NA
27,6,little,NOUN,NNP,9,nn,6:nn|9:appos,Hood,appos,little_nn,Hood,Hood_appos
27,7,red,NOUN,NNP,9,nn,7:nn|9:appos,Hood,appos,red_nn,Hood,Hood_appos
27,8,riding,NOUN,NNP,9,nn,8:nn|9:appos,Hood,appos,riding_nn,Hood,Hood_appos
27,9,hood,NOUN,NNP,4,appos,9:appos|4:ROOT,me,ROOT,hood_appos,me,me_ROOT
28,2,oh,X,UH,7,discourse,2:discourse|7:ccomp,come,ccomp,oh_discourse,Come,come_ccomp
28,3,how,ADV,WRB,4,advmod,3:advmod|4:dep,lovely,dep,how_advmod,lovely,lovely_dep
28,4,lovely,ADJ,JJ,2,dep,4:dep|2:discourse,Oh,discourse,lovely_dep,Oh,Oh_discourse
28,6,do,VERB,VBP,7,aux,6:aux|7:ccomp,come,ccomp,do_aux,Come,come_ccomp
28,7,come,VERB,VB,14,ccomp,7:ccomp|14:ROOT,croaked,ROOT,come_ccomp,croaked,croaked_ROOT
28,8,in,ADV,RB,7,advmod,8:advmod|7:ccomp,come,ccomp,in_advmod,Come,come_ccomp
28,10,my,PRON,PRP$,11,poss,10:poss|11:dobj,dear,dobj,my_poss,dear,dear_dobj
28,11,dear,NOUN,NN,7,dobj,11:dobj|7:ccomp,come,ccomp,dear_dobj,Come,come_ccomp
28,14,NA,VERB,VBD,0,ROOT,14:ROOT|0:NA,NA,NA,croaked_ROOT,NA,NA_NA
28,15,the,DET,DT,16,det,15:det|16:nsubj,wolf,nsubj,the_det,wolf,wolf_nsubj
28,16,wolf,NOUN,NN,14,nsubj,16:nsubj|14:ROOT,croaked,ROOT,wolf_nsubj,croaked,croaked_ROOT
29,1,when,ADV,WRB,6,advmod,1:advmod|6:advcl,entered,advcl,when_advmod,entered,entered_advcl
29,2,little,NOUN,NNP,5,nn,2:nn|5:nsubj,Hood,nsubj,little_nn,Hood,Hood_nsubj
29,3,red,NOUN,NNP,5,nn,3:nn|5:nsubj,Hood,nsubj,red_nn,Hood,Hood_nsubj
29,4,riding,NOUN,NNP,5,nn,4:nn|5:nsubj,Hood,nsubj,riding_nn,Hood,Hood_nsubj
29,5,hood,NOUN,NNP,6,nsubj,5:nsubj|6:advcl,entered,advcl,hood_nsubj,entered,entered_advcl
29,6,entered,VERB,VBD,14,advcl,6:advcl|14:ROOT,recognize,ROOT,entered_advcl,recognize,recognize_ROOT
29,7,the,DET,DT,9,det,7:det|9:dobj,cottage,dobj,the_det,cottage,cottage_dobj
29,8,little,ADJ,JJ,9,amod,8:amod|9:dobj,cottage,dobj,little_amod,cottage,cottage_dobj
29,9,cottage,NOUN,NN,6,dobj,9:dobj|6:advcl,entered,advcl,cottage_dobj,entered,entered_advcl
29,11,she,PRON,PRP,14,nsubj,11:nsubj|14:ROOT,recognize,ROOT,she_nsubj,recognize,recognize_ROOT
29,12,could,VERB,MD,14,aux,12:aux|14:ROOT,recognize,ROOT,could_aux,recognize,recognize_ROOT
29,13,scarcely,ADV,RB,14,advmod,13:advmod|14:ROOT,recognize,ROOT,scarcely_advmod,recognize,recognize_ROOT
29,14,NA,VERB,VB,0,ROOT,14:ROOT|0:NA,NA,NA,recognize_ROOT,NA,NA_NA
29,15,her,PRON,PRP$,16,poss,15:poss|16:dobj,Grandmother,dobj,her_poss,grandmother,Grandmother_dobj
29,16,grandmother,NOUN,NNP,14,dobj,16:dobj|14:ROOT,recognize,ROOT,grandmother_dobj,recognize,recognize_ROOT
30,2,grandmother,ADV,RB,6,advmod,2:advmod|6:ROOT,sounds,ROOT,grandmother_advmod,sounds,sounds_ROOT
30,4,your,PRON,PRP$,5,poss,4:poss|5:nsubj,voice,nsubj,your_poss,voice,voice_nsubj
30,5,voice,NOUN,NN,6,nsubj,5:nsubj|6:ROOT,sounds,ROOT,voice_nsubj,sounds,sounds_ROOT
30,6,NA,VERB,VBZ,0,ROOT,6:ROOT|0:NA,NA,NA,sounds_ROOT,NA,NA_NA
30,7,so,ADV,RB,8,advmod,7:advmod|8:acomp,odd,acomp,so_advmod,odd,odd_acomp
30,8,odd,ADJ,JJ,6,acomp,8:acomp|6:ROOT,sounds,ROOT,odd_acomp,sounds,sounds_ROOT
31,1,is,VERB,VBZ,4,cop,1:cop|4:dep,matter,dep,is_cop,matter,matter_dep
31,2,something,NOUN,NN,4,nsubj,2:nsubj|4:dep,matter,dep,something_nsubj,matter,matter_dep
31,3,the,DET,DT,4,det,3:det|4:dep,matter,dep,the_det,matter,matter_dep
31,4,matter,NOUN,NN,8,dep,4:dep|8:ROOT,asked,ROOT,matter_dep,asked,asked_ROOT
31,7,she,PRON,PRP,8,nsubj,7:nsubj|8:ROOT,asked,ROOT,she_nsubj,asked,asked_ROOT
31,8,NA,VERB,VBD,0,ROOT,8:ROOT|0:NA,NA,NA,asked_ROOT,NA,NA_NA
32,2,oh,X,UH,6,discourse,2:discourse|6:ccomp,have,ccomp,oh_discourse,have,have_ccomp
32,4,i,PRON,PRP,6,nsubj,4:nsubj|6:ccomp,have,ccomp,i_nsubj,have,have_ccomp
32,5,just,ADV,RB,6,advmod,5:advmod|6:ccomp,have,ccomp,just_advmod,have,have_ccomp
32,6,have,VERB,VBP,13,ccomp,6:ccomp|13:ROOT,squeaked,ROOT,have_ccomp,squeaked,squeaked_ROOT
